"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"uniform",111,0.728250600738447,0.728333333333333,-8.27325948863367e-05,0.000191668937048648,-0.43164320812891,FALSE
"uniform",112,0.723279199931196,0.723833333333333,-0.000554133402137724,0.000490705166495026,-1.1292593597409,FALSE
"uniform",113,0.703195363018431,0.7035,-0.000304636981568573,0.00036660318989502,-0.830971988148299,FALSE
"uniform",114,0.749608903017129,0.75,-0.000391096982870764,0.000372931658435871,-1.04870952632737,FALSE
"uniform",115,0.722339033767631,0.7225,-0.000160966232368609,0.000255137814578972,-0.630899157908972,FALSE
"uniform",116,0.7248902617822,0.725,-0.000109738217800359,0.000224269512116982,-0.489314025631438,FALSE
"uniform",117,0.752606132804817,0.753333333333333,-0.000727200528516603,0.00052358814134004,-1.388878912833,FALSE
"uniform",118,0.721371289014898,0.7215,-0.000128710985102254,0.000234026651157188,-0.549984305060208,FALSE
"uniform",119,0.71195785665125,0.713666666666667,-0.00170881001541645,0.000929697178780041,-1.83802861234748,FALSE
"uniform",120,0.741499940061585,0.741833333333333,-0.000333393271748417,0.000356169679389441,-0.936051806318638,FALSE
"uniform",121,0.71962102108016,0.72,-0.000378978919839956,0.000411780091187126,-0.920342988771977,FALSE
"uniform",122,0.726047725720917,0.726166666666667,-0.00011894094574938,0.000221065604040422,-0.538034608620665,FALSE
"uniform",123,0.732565769367421,0.733833333333333,-0.0012675639659121,0.000722198608214194,-1.75514595499768,FALSE
"uniform",124,0.743902815428451,0.744166666666667,-0.000263851238215596,0.000324897431205078,-0.812106261465177,FALSE
"uniform",125,0.729348029475448,0.73,-0.000651970524552459,0.000494641559640672,-1.31806661176242,FALSE
"uniform",126,0.720346074513755,0.720666666666667,-0.000320592152911692,0.000370633628323826,-0.864983985294467,FALSE
"uniform",127,0.704533460501776,0.704666666666667,-0.000133206164890431,0.00024710959813354,-0.539057025289831,FALSE
"uniform",128,0.720127185531099,0.721,-0.000872814468900751,0.000650916703775255,-1.34090040067878,FALSE
"uniform",129,0.724784482578991,0.724833333333333,-4.88507543422445e-05,0.000144667040621593,-0.337677152531404,FALSE
"uniform",130,0.711082916087474,0.7115,-0.000417083912525928,0.000429208308002901,-0.971751722296832,FALSE
"uniform",131,0.719175501946643,0.719833333333333,-0.000657831386690066,0.000488122635441215,-1.34767646268945,FALSE
"uniform",132,0.698957107364182,0.699166666666667,-0.000209559302484896,0.000310387765532389,-0.675153230107031,FALSE
"uniform",133,0.708052888389558,0.708166666666667,-0.000113778277108234,0.000225237104204296,-0.505148907459911,FALSE
"uniform",134,0.732530777442206,0.732666666666667,-0.000135889224460617,0.000236124694497223,-0.575497724835448,FALSE
"uniform",135,0.728544935746453,0.729,-0.000455064253547355,0.000446224764291444,-1.01980949952418,FALSE
"uniform",136,0.69601810425583,0.6965,-0.000481895744170013,0.000489298837389152,-0.984869996301971,FALSE
"uniform",137,0.722536524487723,0.722833333333333,-0.000296808845610452,0.000355355267250339,-0.835245381072002,FALSE
"uniform",138,0.703531025790458,0.704666666666667,-0.00113564087620832,0.00071946125267249,-1.57846009356293,FALSE
"uniform",139,0.713462349403033,0.713666666666667,-0.000204317263634013,0.000302623548690851,-0.675153220950217,FALSE
"uniform",140,0.709754177913461,0.71,-0.000245822086539338,0.00034010568364683,-0.722781471639864,FALSE
"uniform",141,0.71534652433437,0.7155,-0.000153475665629732,0.000266564055208456,-0.575755292699582,FALSE
