"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",136,0.840178770321321,0.840681162345579,-0.000502392024257725,0.000568145156500062,-0.884267019633863,0.000214031868506492,0.00021401682206479,0.000213862950826214,FALSE
"null",137,0.826470784365462,0.826280748420848,0.000190035944613864,0.000321445437990631,0.591191916742659,0.000249473122539728,0.000249471968086429,0.000249420881728276,FALSE
"null",138,0.836017674286878,0.83637156367357,-0.000353889386691897,0.000275643028603185,-1.28386844566766,0.00022431520294119,0.000224048540516102,0.000224143882189037,FALSE
"null",139,0.832997041188389,0.832782680639326,0.000214360549062209,0.000403189966491888,0.531661417389269,0.00022580512252262,0.000227326477107109,0.000226484518740324,FALSE
"null",140,0.856955809311826,0.85719091603983,-0.000235106728004308,0.000401277323961407,-0.585895872917354,0.000196309270604687,0.000195598452994455,0.000195873350054208,FALSE
"null",141,0.827658222612285,0.82761311707887,4.51055334149686e-05,0.000771713803135482,0.0584485248698472,0.000242555260692655,0.000243696838168187,0.000242828278333446,FALSE
"null",142,0.850130485154228,0.850198559107976,-6.80739537485264e-05,0.000470671484155046,-0.144631565837759,0.000201678839134069,0.000201784646532795,0.000201620977010434,FALSE
"null",143,0.825243161465612,0.824280667255386,0.000962494210225984,0.000593367539276742,1.62208773907513,0.00023243383103051,0.000234735953568626,0.000233408849781234,FALSE
"null",144,0.820942161846135,0.820033560109518,0.000908601736616887,0.000712239135034709,1.27569757392313,0.000241563860862852,0.000243454043325356,0.000242255309801366,FALSE
"null",145,0.820403997048072,0.820355081261032,4.891578704036e-05,0.00047291167111153,0.10343535596275,0.000239347342876731,0.000239994909905804,0.00023955930366693,FALSE
"null",146,0.825769466256047,0.825353648519111,0.000415817736935664,0.000507432844047612,0.819453730308101,0.000230071695291739,0.000231872488820753,0.000230843348010637,FALSE
"null",147,0.842699829862021,0.842584710019869,0.00011511984215129,0.000222589749322752,0.517183933678669,0.000243694056060297,0.000244353057799724,0.000243998783831758,FALSE
"null",148,0.851980735461621,0.852118162684022,-0.00013742722240051,0.000313498566839903,-0.438366349759715,0.000215952513242161,0.000215258954572798,0.000215556593231774,FALSE
"null",149,0.82905398927506,0.8291550639504,-0.000101074675340262,0.00038016401204438,-0.265871234882862,0.0002670418940168,0.000267069901791604,0.000266983635566175,FALSE
"null",150,0.836411013725968,0.836307957354317,0.000103056371650756,0.00040314760553425,0.255629378014501,0.000220215921593304,0.000221107398283078,0.000220580395942267,FALSE
"null",151,0.854691420753442,0.855012929165457,-0.000321508412014615,0.000512900259701099,-0.626843925175588,0.000225018280832101,0.000224159442624744,0.000224457328390222,FALSE
"null",152,0.869273045302697,0.869247302461485,2.57428412125948e-05,0.000420411786562986,0.0612324440831015,0.000200733102920755,0.000201365366951775,0.000200960861901125,FALSE
"null",153,0.846466878802217,0.846607892004928,-0.00014101320271076,0.000563401653958787,-0.250288939906228,0.000213332406809899,0.000213570028807191,0.000213292507096703,FALSE
"null",154,0.82863596230548,0.828704914512671,-6.89522071908311e-05,0.000409702290806509,-0.168298319872942,0.000222910338408059,0.000223202205991949,0.000222972344216458,FALSE
"null",155,0.854931798243375,0.854692658959977,0.000239139283398471,0.00047598682882291,0.502407354400645,0.000241040030622615,0.000241330893175575,0.000241072180168489,FALSE
"null",156,0.834969254259044,0.835986786196204,-0.00101753193716003,0.000698381371340191,-1.45698608083917,0.000239681131704444,0.000239678687383687,0.000239436041274148,FALSE
