"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m2_value_dropout",1,500,"raw_fiml","Brennan-Prediger",0.725240118307552,0.7403728,-0.015132681692448,0.6492,3.246,0.04,""
"m2_value_dropout",1,500,"raw_ipw","Fleiss",0.757166805811202,0.737614095591926,0.0195527102192757,0.6492,3.246,0.04,""
"m2_value_dropout",1,500,"raw_ipw","Brennan-Prediger",0.767310109218879,0.7403728,0.0269373092188789,0.6492,3.246,0.04,""
"m2_value_dropout",2,500,"counts_fiml","Fleiss",0.755575169003525,0.737614095591926,0.0179610734115995,0.6364,3.182,0.02,""
"m2_value_dropout",2,500,"counts_fiml","Brennan-Prediger",0.758158477221718,0.7403728,0.017785677221718,0.6364,3.182,0.02,""
"m2_value_dropout",2,500,"raw_fiml","Fleiss",0.739223385224085,0.737614095591926,0.00160928963215878,0.6364,3.182,0.02,""
"m2_value_dropout",2,500,"raw_fiml","Brennan-Prediger",0.741807615527878,0.7403728,0.0014348155278775,0.6364,3.182,0.02,""
"m2_value_dropout",2,500,"raw_ipw","Fleiss",0.79094296120786,0.737614095591926,0.0533288656159342,0.6364,3.182,0.02,""
"m2_value_dropout",2,500,"raw_ipw","Brennan-Prediger",0.797576069236624,0.7403728,0.0572032692366236,0.6364,3.182,0.02,""
"m2_value_dropout",3,500,"counts_fiml","Fleiss",0.71602992961623,0.737614095591926,-0.021584165975696,0.646,3.23,0.022,""
"m2_value_dropout",3,500,"counts_fiml","Brennan-Prediger",0.722250711879275,0.7403728,-0.0181220881207254,0.646,3.23,0.022,""
"m2_value_dropout",3,500,"raw_fiml","Fleiss",0.70543555333564,0.737614095591926,-0.0321785422562856,0.646,3.23,0.022,""
"m2_value_dropout",3,500,"raw_fiml","Brennan-Prediger",0.711646387967521,0.7403728,-0.0287264120324793,0.646,3.23,0.022,""
